"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Sademäärä [mm]","Ilman keskilämpötila [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]"
"Enontekiö Kilpisjärvi kyläkeskus","2016","12","31","02:00","0.1","-8.9","-2.1","-19.1"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","1","02:00","0.7","-5.3","-3.4","-7.1"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","2","02:00","0","-19.2","-5","-28.7"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","3","02:00","0.5","-21.5","-17.1","-30"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","4","02:00","-1","-29.9","-17.8","-37.1"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","5","02:00","-1","-29.6","-23.5","-37.8"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","6","02:00","0.5","-7.4","-5.3","-23.5"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","7","02:00","8.9","-3.4","-1.5","-6.5"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","8","02:00","9.5","-2","0.8","-4"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","9","02:00","7.1","-6.9","-1.5","-14"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","10","02:00","5.7","-16.5","-10.8","-23.1"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","11","02:00","4.3","-12.4","-8.6","-18.6"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","12","02:00","1.4","-6.2","-2.4","-20.5"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","13","02:00","0.8","-7.9","-6.7","-11.1"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","14","02:00","-1","-14.9","-6.6","-20.2"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","15","02:00","0.1","-18.7","-15.8","-23.2"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","16","02:00","0.3","-13.1","-5.6","-22"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","17","02:00","16.1","-1.6","1.2","-6.2"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","18","02:00","7.1","-3","-1.5","-4.4"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","19","02:00","13","-5.7","1.3","-8.9"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","20","02:00","4","-7.4","-6.2","-8.7"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","21","02:00","1.2","-7.1","-5.2","-9.8"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","22","02:00","6.6","-8.6","-5.4","-12.2"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","23","02:00","1.6","-9.7","-6.5","-10.9"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","24","02:00","1.8","-13.2","-7.7","-21"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","25","02:00","11.7","-2.2","2.5","-8.5"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","26","02:00","9.5","0.4","1.6","-1.1"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","27","02:00","-1","3.2","5","0.2"
"Enontekiö Kilpisjärvi kyläkeskus","2017","1","28","02:00","0.7","0.3","4.2","-2.7"
